,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,Performance,,,,,,,,,,,,,Aerial Duels,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,CmpT,AttT,Cmp%T,TotDistT,PrgDistT,CmpS,AttS,Cmp%S,CmpM,AttM,Cmp%M,CmpL,AttL,Cmp%L,Ast,xAG,xA,A-xAG,KP,1/3P,PPA,CrsPA,PrgP,Att,LivePass,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,ShSCA,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,ShGCA,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouc,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1.00,Ajaccio,fr Ligue 1,36.00,26.10,56.80,38.00,418.00,3420.00,38.00,72.00,49.00,121.00,63.00,9.00,10.00,69.00,8.00,53.90,46.20,35.00,81.20,636.00,1696.00,1.89,1.29,3.18,1.66,2.95,1.42,0.92,2.34,1.22,2.14,72.00,410.00,152.00,37.10,10.79,4.00,0.15,0.41,17.60,18.00,9.00,10.00,53.90,46.20,0.12,18.10,16.80,16356.00,20436.00,80.00,298602.00,99155.00,6775.00,7903.00,85.70,7174.00,8331.00,86.10,1872.00,3174.00,59.00,49.00,35.00,35.00,14.00,297.00,1308.00,310.00,66.00,1696.00,20436.00,18521.00,1848.00,569.00,48.00,132.00,621.00,806.00,167.00,70.00,57.00,0.00,16356.00,67.00,313.00,732.00,19.26,536.00,60.00,49.00,38.00,43.00,6.00,124.00,3.26,85.00,7.00,13.00,11.00,8.00,0.00,601.00,366.00,264.00,267.00,70.00,277.00,560.00,49.50,283.00,386.00,77.00,309.00,349.00,950.00,613.00,5.00,24302.00,1953.00,6843.00,12450.00,5271.00,764.00,24292.00,774.00,380.00,49.10,313.00,40.40,17674.00,100153.00,48479.00,636.00,558.00,135.00,539.00,324.00,16224.00,1685.00,69.00,8.00,2.00,522.00,512.00,67.00,621.00,349.00,366.00,7.00,9.00,1.00,2074.00,711.00,602.00,54.20
2.00,Almería,es La Liga,29.00,27.60,54.90,38.00,418.00,3420.00,38.00,64.00,49.00,113.00,60.00,4.00,6.00,93.00,5.00,62.50,57.80,49.50,107.40,860.00,1706.00,1.68,1.29,2.97,1.58,2.87,1.65,1.30,2.95,1.52,2.83,64.00,537.00,198.00,36.90,14.13,5.21,0.11,0.30,17.40,14.00,4.00,6.00,62.50,57.80,0.11,1.50,2.20,15420.00,19392.00,79.50,271389.00,96958.00,7336.00,8173.00,89.80,6009.00,7055.00,85.20,1644.00,2972.00,55.30,49.00,49.50,49.20,-0.50,423.00,1406.00,370.00,91.00,1706.00,19392.00,17371.00,1863.00,501.00,70.00,189.00,851.00,781.00,227.00,80.00,99.00,1.00,15420.00,158.00,367.00,956.00,25.16,739.00,78.00,44.00,39.00,44.00,12.00,110.00,2.89,84.00,7.00,7.00,5.00,6.00,1.00,591.00,369.00,274.00,233.00,84.00,310.00,606.00,51.20,296.00,373.00,108.00,265.00,249.00,840.00,553.00,14.00,23165.00,1977.00,6271.00,10606.00,6490.00,1018.00,23159.00,711.00,343.00,48.20,280.00,39.40,13817.00,75543.00,41267.00,860.00,626.00,236.00,483.00,277.00,15279.00,1691.00,93.00,5.00,2.00,427.00,427.00,158.00,851.00,249.00,369.00,5.00,3.00,0.00,2010.00,530.00,482.00,52.40
3.00,Angers,fr Ligue 1,33.00,26.50,53.10,38.00,418.00,3420.00,38.00,77.00,57.00,134.00,68.00,9.00,11.00,59.00,6.00,61.70,53.20,42.20,95.50,725.00,1600.00,2.03,1.50,3.53,1.79,3.29,1.62,1.11,2.74,1.40,2.51,77.00,452.00,187.00,41.40,11.89,4.92,0.15,0.36,17.10,19.00,9.00,11.00,61.70,53.20,0.12,15.30,14.80,16447.00,19945.00,82.50,298240.00,100644.00,6859.00,7828.00,87.60,7221.00,8163.00,88.50,1809.00,2900.00,62.40,57.00,42.20,38.70,14.80,347.00,1274.00,310.00,80.00,1600.00,19945.00,18056.00,1819.00,504.00,45.00,160.00,640.00,793.00,199.00,88.00,72.00,1.00,16447.00,70.00,334.00,802.00,21.11,578.00,80.00,46.00,46.00,43.00,9.00,136.00,3.58,96.00,9.00,12.00,6.00,10.00,3.00,741.00,450.00,348.00,293.00,100.00,392.00,833.00,47.10,441.00,347.00,84.00,263.00,370.00,1111.00,526.00,11.00,23892.00,1965.00,6828.00,12114.00,5218.00,824.00,23881.00,708.00,300.00,42.40,310.00,43.80,17872.00,102417.00,48645.00,725.00,589.00,160.00,564.00,342.00,16318.00,1589.00,59.00,6.00,2.00,437.00,466.00,70.00,640.00,370.00,450.00,8.00,4.00,2.00,2056.00,441.00,436.00,50.30
4.00,Arsenal,eng Premier League,26.00,26.70,40.10,38.00,418.00,3420.00,38.00,42.00,27.00,69.00,39.00,3.00,5.00,84.00,1.00,42.00,38.00,31.60,69.60,510.00,907.00,1.11,0.71,1.82,1.03,1.74,1.10,0.83,1.93,1.00,1.83,42.00,337.00,133.00,39.50,8.87,3.50,0.12,0.29,16.10,8.00,3.00,5.00,42.00,38.00,0.11,0.00,1.00,11424.00,15090.00,75.70,202608.00,76723.00,5278.00,6079.00,86.80,4656.00,5577.00,83.50,1174.00,2519.00,46.60,27.00,31.60,26.00,-4.60,259.00,778.00,201.00,45.00,907.00,15090.00,13335.00,1672.00,407.00,51.00,99.00,510.00,662.00,139.00,79.00,47.00,4.00,11424.00,83.00,317.00,569.00,14.97,398.00,64.00,31.00,33.00,32.00,11.00,66.00,1.74,49.00,5.00,2.00,4.00,5.00,1.00,668.00,387.00,402.00,202.00,64.00,290.00,641.00,45.20,351.00,516.00,186.00,330.00,360.00,1028.00,841.00,18.00,19203.00,2933.00,7798.00,7683.00,3935.00,673.00,19197.00,584.00,257.00,44.00,249.00,42.60,10261.00,53986.00,26086.00,510.00,354.00,147.00,476.00,319.00,11310.00,901.00,84.00,1.00,0.00,456.00,354.00,83.00,510.00,360.00,387.00,4.00,4.00,4.00,1821.00,559.00,486.00,53.50
5.00,Aston Villa,eng Premier League,26.00,26.50,50.60,38.00,418.00,3420.00,38.00,42.00,25.00,67.00,37.00,5.00,6.00,85.00,3.00,52.50,47.90,36.10,84.00,607.00,1323.00,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,42.00,424.00,145.00,34.20,11.16,3.82,0.09,0.26,16.50,14.00,5.00,6.00,52.50,47.90,0.12,-10.50,-10.90,14277.00,18089.00,78.90,255169.00,89828.00,6523.00,7424.00,87.90,5885.00,6859.00,85.80,1554.00,2778.00,55.90,25.00,36.10,28.70,-11.10,321.00,1096.00,282.00,65.00,1323.00,18089.00,16219.00,1754.00,446.00,95.00,180.00,689.00,765.00,211.00,96.00,77.00,7.00,14277.00,116.00,375.00,757.00,19.92,530.00,82.00,45.00,52.00,39.00,9.00,74.00,1.95,48.00,7.00,5.00,7.00,5.00,2.00,650.00,370.00,305.00,237.00,108.00,279.00,571.00,48.90,292.00,413.00,127.00,286.00,332.00,982.00,635.00,9.00,22020.00,2102.00,7107.00,9894.00,5219.00,870.00,22014.00,730.00,333.00,45.60,313.00,42.90,12332.00,62377.00,31979.00,607.00,425.00,184.00,486.00,320.00,14144.00,1306.00,85.00,3.00,3.00,508.00,403.00,116.00,689.00,332.00,370.00,3.00,4.00,2.00,1962.00,465.00,442.00,51.30
6.00,Atalanta,it Serie A,27.00,26.50,50.10,38.00,418.00,3420.00,38.00,46.00,35.00,81.00,43.00,3.00,3.00,83.00,1.00,41.40,39.20,30.50,69.70,595.00,1264.00,1.21,0.92,2.13,1.13,2.05,1.09,0.80,1.89,1.03,1.83,46.00,447.00,150.00,33.60,11.76,3.95,0.10,0.29,19.40,19.00,3.00,3.00,41.40,39.20,0.09,4.60,3.80,15427.00,19505.00,79.10,273586.00,101214.00,6905.00,7793.00,88.60,6372.00,7476.00,85.20,1676.00,3037.00,55.20,35.00,30.50,25.90,4.50,330.00,1087.00,255.00,70.00,1264.00,19505.00,17534.00,1921.00,506.00,32.00,113.00,578.00,831.00,150.00,46.00,62.00,0.00,15427.00,50.00,393.00,781.00,20.55,586.00,61.00,44.00,39.00,40.00,11.00,79.00,2.08,59.00,4.00,7.00,5.00,3.00,1.00,742.00,458.00,420.00,245.00,77.00,355.00,695.00,51.10,340.00,454.00,133.00,321.00,360.00,1102.00,704.00,9.00,23959.00,2679.00,8426.00,10783.00,5000.00,676.00,23956.00,725.00,322.00,44.40,312.00,43.00,13394.00,70390.00,33666.00,595.00,462.00,130.00,643.00,324.00,15247.00,1249.00,83.00,1.00,0.00,406.00,438.00,50.00,578.00,360.00,458.00,1.00,8.00,2.00,2239.00,483.00,575.00,45.70
7.00,Athletic Club,es La Liga,26.00,27.30,48.40,38.00,418.00,3420.00,38.00,40.00,28.00,68.00,37.00,3.00,3.00,97.00,3.00,36.90,34.50,26.90,61.40,549.00,1211.00,1.05,0.74,1.79,0.97,1.71,0.97,0.71,1.68,0.91,1.62,40.00,387.00,120.00,31.00,10.18,3.16,0.10,0.31,18.00,16.00,3.00,3.00,36.90,34.50,0.09,3.10,2.50,13536.00,17570.00,77.00,245536.00,92719.00,6175.00,7076.00,87.30,5335.00,6384.00,83.60,1644.00,3105.00,52.90,28.00,26.90,27.70,1.10,286.00,913.00,252.00,70.00,1211.00,17570.00,15542.00,1951.00,580.00,41.00,190.00,579.00,789.00,136.00,56.00,50.00,2.00,13536.00,77.00,358.00,675.00,17.76,470.00,65.00,42.00,42.00,41.00,15.00,69.00,1.82,45.00,3.00,7.00,5.00,6.00,3.00,656.00,416.00,374.00,212.00,70.00,305.00,652.00,46.80,347.00,449.00,147.00,302.00,384.00,1040.00,839.00,17.00,21993.00,2875.00,8383.00,9235.00,4605.00,626.00,21990.00,718.00,320.00,44.60,322.00,44.80,12123.00,62040.00,30311.00,549.00,410.00,135.00,600.00,286.00,13411.00,1202.00,97.00,3.00,1.00,449.00,479.00,77.00,579.00,384.00,416.00,3.00,7.00,1.00,2087.00,487.00,532.00,47.80
8.00,Atlético Madrid,es La Liga,27.00,27.00,49.40,38.00,418.00,3420.00,38.00,33.00,22.00,55.00,29.00,4.00,5.00,93.00,6.00,41.30,37.40,31.50,68.90,729.00,1634.00,0.87,0.58,1.45,0.76,1.34,1.09,0.83,1.92,0.98,1.81,33.00,433.00,124.00,28.60,11.39,3.26,0.07,0.23,18.60,18.00,4.00,5.00,41.30,37.40,0.09,-8.30,-8.40,16384.00,20021.00,81.80,301152.00,100162.00,6990.00,7841.00,89.10,7186.00,8112.00,88.60,1852.00,3099.00,59.80,22.00,31.50,31.50,-9.50,331.00,1304.00,267.00,93.00,1634.00,20021.00,18229.00,1735.00,495.00,40.00,228.00,743.00,650.00,185.00,78.00,68.00,1.00,16384.00,57.00,352.00,781.00,20.55,585.00,60.00,49.00,41.00,38.00,8.00,58.00,1.53,43.00,4.00,1.00,7.00,3.00,0.00,539.00,317.00,271.00,181.00,87.00,262.00,584.00,44.90,322.00,445.00,134.00,311.00,368.00,907.00,663.00,14.00,24043.00,2425.00,7018.00,11697.00,5530.00,691.00,24038.00,764.00,351.00,45.90,334.00,43.70,14819.00,75451.00,38319.00,729.00,515.00,146.00,540.00,333.00,16237.00,1617.00,93.00,6.00,2.00,449.00,419.00,57.00,743.00,368.00,317.00,3.00,1.00,2.00,2011.00,399.00,445.00,47.30
9.00,Augsburg,de Bundesliga,34.00,26.50,58.30,34.00,374.00,3060.00,34.00,61.00,46.00,107.00,60.00,1.00,4.00,66.00,0.00,58.80,55.70,45.70,101.30,597.00,1458.00,1.79,1.35,3.15,1.76,3.12,1.73,1.34,3.07,1.64,2.98,61.00,535.00,198.00,37.00,15.74,5.82,0.11,0.30,17.30,13.00,1.00,4.00,58.80,55.70,0.11,2.20,4.30,13841.00,18024.00,76.80,252155.00,99254.00,5992.00,6995.00,85.70,5949.00,7081.00,84.00,1561.00,2925.00,53.40,46.00,45.70,49.00,0.30,400.00,1117.00,325.00,88.00,1458.00,18024.00,16282.00,1663.00,470.00,56.00,83.00,708.00,716.00,165.00,64.00,81.00,0.00,13841.00,79.00,349.00,921.00,27.09,672.00,93.00,39.00,64.00,43.00,10.00,108.00,3.18,75.00,9.00,6.00,8.00,8.00,2.00,500.00,302.00,231.00,200.00,69.00,234.00,435.00,53.80,201.00,387.00,99.00,288.00,262.00,762.00,701.00,7.00,21970.00,2268.00,7071.00,9767.00,5325.00,919.00,21966.00,566.00,247.00,43.60,232.00,41.00,12276.00,62096.00,30586.00,597.00,438.00,190.00,580.00,290.00,13659.00,1448.00,66.00,0.00,0.00,374.00,410.00,79.00,708.00,262.00,302.00,3.00,5.00,1.00,1982.00,777.00,640.00,54.80
